id,text,lang
1495561340244697089,rt @gearding4ky: cdc = centers to deceive &amp; control,en
1495561340802457601,rt @mattkirshen: embarrassing for the queen to get covid after everything she said on joe rogan’s podcast,en
1495561340894826498,@chill_like_meee my gym trippin though because of covid...i used to be able to get a full hour in before work (5am… https://t.co/etiw9rjdce,en
1495561340999581697,rt @cleavon_md: 🧵this is the 4th thread dedicated to the precious children that have died from covid during this never-ending pandemic. by…,en
1495561341377159169,rt @jackposobiec: why does the government expect us to believe them about ukraine after what they just pulled with covid,en
1495561341364760579,@hachi_roku @rhianno25594476 @deadnlght @omighty_twitch @siege_gg yeah its so crazy isnt it? i tested positive and… https://t.co/dyorq3zgcm,en
1495561341796782083,rt @nigel_farage: the thoughts of huge numbers of people all over the world will be with the queen as she tests positive for covid. at a…,en
1495561341687504901,you want people to be imprisoned in their homes under lockdowns for the rest of their lives.,en
1495561341796454402,rt @ianmsc: fauci on june 3rd: “covid surges could hit states with low vaccination rates”reality on february 20th: highly vaccinated main…,en
1495561342643851264,rt @liamyoung: the queen’s positive covid test was picked up during regular testing - something boris johnson is scrapping in his big annou…,en
1495561342786359296,@docwithbowtie when i had og covid 3/2020 before anyone knew wtf was going on the pain i felt from top to bottom wa… https://t.co/t8hf9fwopr,en
1495561343126102021,rt @heachy_1979: please make it stop..bill gates told cnbc friday that the risks of severe disease from covid-19 have “dramatically reduc…,en
1495561345550499843,rt @judyshel: tunku varadarajan ⁦@tunkuv⁩ conducts an insightful and thought-provoking discussion about monetary and fiscal policy coordina…,en
1495561346036948998,rt @nikkifried: what kind of person would do this?!?https://t.co/izvwwy6mt6,en
1495561346582294532,rt @ezrakahan: the fact that a triple vaccinated prime minster who still caught covid and isolated is declaring war on his own citizens ins…,en
1495561346515189760,@sarge4kentucky @morgakate sorry to hear that 💔 i’ve lost a few close people to covid,en
1495561346691530752,"rt @aginnt: for the 32nd saturday in a row, paris protests to end covid law today. https://t.co/4awm5zfxjn",en
1495561348175917056,"rt @lapublichealth: covid-19 daily update:february 20, 2022new cases: 2,780 (2,782,953 to date)new deaths: 58 (30,356 to date)current h…",en
1495561348813570048,god save the queen indeed.,en
1495561349044359177,rt @kirawontmiss: one sip of mcdonald’s sprite and its wraps,en
1495561349086121986,rt @nbsaphiermd: the cdc’s response when questioned about their withholding of covid data and lack of transparency is essentially “we don’t…,en
1495561349400653824,rt @annastaciamp: covid-19 update: the health minister @yvettedath is speaking in brisbane. #covid19 https://t.co/fijhvhyc1n,en
1495561349887311873,rt @twiligtzone: @thefreds they could also just inject you with nanotech and you will never know until it's too late...https://t.co/1kfbv…,en
1495561350554157056,"rt @sailorrooscout: this data has been updated and posted on february 18th, 2022. compared to vaccinated individuals, unvaccinated individu…",en
1495561350860488705,"rt @archiestannumb1: so the queen has covid,so what? they paraded her without wearing mask,her heirs same: they go meeting people without m…",en
1495561350952615937,"rt @devilstower: 21 years ago, one guy, in england, put explosives in his shoes and tried to light them with a match. no one was harmed. fo…",en
1495561350814253058,@shotsyay @trojanman4ever @whitlockjason people are f$cking insane. seriously i have been living a pre covid life f… https://t.co/tpdmehjxm6,en
1495561351162433545,"rt @red_in_pa_4: 🇩🇪 germans hit the streets today against covid tyranny, flags of canada flying in solidarity 🙏🏻 https://t.co/xmnb5znpkh",en
1495561351686725632,"rt @b52malmet: queen elizabeth, her son, prince charles, his wife, camilla all have #covid.  our surgeon general, his wife, and two childre…",en
1495561351728869378,"rt @stephanieseneff: this powerful letter from meryl nass and rfk,jr. to janet woodcock, acting commissioner of the fda, may be the reason…",en
1495561351753875458,@bobjone85385305 @buperac you don’t see the irony? “covid restrictions will be lifted soon”,en
1495561351758245889,https://t.co/mst7kpksws#covid19#covid-19#covid#omicronthe media that has been told of fake news are actually t… https://t.co/aubmffrhyk,en
1495561352399654912,rt @realtuckfrumper: health experts warn americans ‘not to get too cocky’ as they prepare for post-covid life https://t.co/acta6kn5md,en
1495561352911462405,rt @melissalmrogers: paris out in force against covid tyranny yesterday. also see a canada flag flying proudly#canada #france #freedomconv…,en
1495561353192484864,"@karlwhitecloud ""those who support some form of action (93% of canadians) to remove protesters are largely supporti… https://t.co/ijqp1qrs3e",en
1495561355922841600,"rt @dwuhlfelderlaw: 68,902 floridians have reportedly died from covid-19. desantis won his gubernatorial race in 2018 by 32,463 votes.",en
1495561356057227265,you’re a sick and misguided individual.. seek help.,en
1495561356224860160,"rt @ericboehlert: interesting, @thisweekabc just had 10 min convo re: dems disarray. (covid! inflation!) not one word about trump smuggli…",en
1495561356803653635,@emersenlee covid was less lethal than the democrat response.,en
1495561358615756802,"rt @blackwidow_94: @cpho_canada @sandyhi2244 like, just spitballing here, improving indoor air quality because covid is airborne?and like…",en
1495561358573817858,"rt @morrispexmouth: he won’t commit to resign if he broke the law? he did break the law, the bereaved and those who died of covid through h…",en
1495561358749933572,@_awful_falafel @getnickwright i don't trust our institutions https://t.co/mxp5yn0jdv,en
1495561359328747526,"rt @rebeccacokley: @nakolewatson reminds me how they used ""pre-existing conditions"" for white folks in the fight for the ada, and then move…",en
1495561359626543111,anyone have any good vegetarian recipes? i haven’t been able to digest meat since i got covid and i can’t stand the… https://t.co/habkecx6lq,en
1495561362428338178,rt @drejoanneliu: african leader asks europe of covid response: 'are we equal?' https://t.co/z7ouc3q2dv,en
1495561362717569024,@northernfifi the queen has covid 🤣,en
1495561363879755776,heads-up … the covid-19 omicron death rate is not low. he’s lying again.,en
1495561364122841094,rt @humble_cg: i need them covid flight prices back asap,en
1495561364441546755,"hide the decline, covid vaccines version?",en
1495561364869619714,rt @lionelmedia: triple vaxxed. boosted. monitored. masked. sheltered and segregated from the infected masses and viral hoi polloi. covid p…,en
1495561364835901442,"man, that concert therapy paying dividends today. when caution is keeping away from that and the mental toll it tak… https://t.co/w2jurtumkn",en
